year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2024,7,管理,6030,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,7,販売,409454,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,7,輸送・機械運転,254932,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,7,農林漁業,16122,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,7,運搬・清掃・包装等,367650,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,7,集計区分,282236,,,,
2024,8,サービス,1011474,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,8,事務,404212,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,8,保安,83753,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,8,分類不能,0,,,,
2024,8,専門・技術,1001000,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,8,建設・採掘,222368,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,8,生産工程,391812,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,8,管理,5789,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,8,販売,409256,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,8,輸送・機械運転,252752,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,8,農林漁業,15691,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,8,運搬・清掃・包装等,368040,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,8,集計区分,283593,,,,
2024,9,サービス,1029533,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,9,事務,408814,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,9,保安,83177,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,9,分類不能,0,,,,
